Phone_Name,Price,Battery_Info,Processor_Info,Display_Info,Camera_Info,OS_Info
 Samsung Galaxy S22 Ultra ," Rs.62,999 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (3 GHz, Single Core + 2.4 GHz, Tri core + 1.7 GHz, Quad core)Snapdragon 8 Gen 112 GB RAM","6.8 inches (17.27 cm)QHD+, Dynamic AMOLED 2x120 Hz Refresh Rate",108 + 12 + 10 + 10 MP Quad Primary CamerasLED Flash40 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy F54 5G ," Rs.31,999 ",6000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Quad Core + 2 GHz, Quad core)Samsung Exynos 1380 8 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus120 Hz Refresh Rate",108 MP + 8 MP + 2 MP Triple Primary CamerasLED Flash32 MP Front Camera,"Android v13, upgradable to v14"
 Samsung Galaxy A73 5G ," Rs.41,999 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Single Core + 2.2 GHz, Single core + 1.9 GHz, Hexa Core)Snapdragon 778G8 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus120 Hz Refresh Rate",108 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy A53 5G ," Rs.18,999 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)Samsung Exynos 12806 GB RAM","6.5 inches (16.51 cm)FHD+, Super AMOLED120 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy S20 Ultra ," Rs.99,990 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.73 GHz, Dual Core + 2.5 GHz, Dual core + 2 GHz, Quad core)Samsung Exynos 9 Octa 99012 GB RAM","6.9 inches (17.53 cm)QHD+, Dynamic AMOLED 2x120 Hz Refresh Rate",108 + 48 + 12 MP Quad Primary CamerasLED Flash40 MP Front Camera,Android v10 (Q)
 Samsung Galaxy A52 8GB RAM ," Rs.16,990 ",4500 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Dual Core + 1.8 GHz, Hexa Core)Snapdragon 720G8 GB RAM","6.5 inches (16.51 cm)FHD+, Super AMOLED90 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v11, upgradable to v14"
 Samsung Galaxy Note 20 Ultra 5G ," Rs.62,999 ",4500 mAhFast ChargingUSB Type-C Port,"Octa core (2.73 GHz, Dual Core + 2.5 GHz, Dual core + 2 GHz, Quad core)Samsung Exynos 9 Octa 99012 GB RAM","6.9 inches (17.53 cm)QHD+, Dynamic AMOLED120 Hz Refresh Rate",108 MP + 12 MP + 12 MP Triple Primary CamerasLED Flash10 MP Front Camera,"Android v10 (Q), upgradable to v13"
 Samsung Galaxy M53 5G ," Rs.20,999 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)MediaTek Dimensity 9006 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus120 Hz Refresh Rate",108 + 8 + 2 + 2 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy M52 5G ," Rs.23,749 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Single Core + 2.2 GHz, Tri core + 1.9 GHz, Quad core)Snapdragon 778G6 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus120 Hz Refresh Rate",64 MP + 12 MP + 5 MP Triple Primary CamerasLED Flash32 MP Front Camera,Android v11
 Samsung Galaxy A52s 5G ," Rs.30,999 ",4500 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Single Core + 2.2 GHz, Tri core + 1.9 GHz, Quad core)Snapdragon 778G6 GB RAM","6.5 inches (16.51 cm)FHD+, Super AMOLED120 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v11
 Samsung Galaxy A72 ," Rs.25,990 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Dual Core + 1.8 GHz, Hexa Core)Snapdragon 720G8 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED90 Hz Refresh Rate",64 + 12 + 8 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v11, upgradable to v14"
 Samsung Galaxy A71 ," Rs.29,499 ",4500 mAhFast ChargingUSB Type-C Port,"Octa core (2.2 GHz, Dual Core + 1.8 GHz, Hexa Core)Snapdragon 7308 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus60 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v10 (Q), upgradable to v13"
 Samsung Galaxy M32 ," Rs.13,399 ",6000 mAhFast ChargingUSB Type-C Port,"Octa core (2 GHz, Dual Core + 1.8 GHz, Hexa Core)MediaTek Helio G804 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED90 Hz Refresh Rate",64 + 8 + 2 + 2 MP Quad Primary CamerasLED Flash20 MP Front Camera,Android v11
 Samsung Galaxy F62 8GB RAM ," Rs.31,998 ",7000 mAhFast ChargingUSB Type-C Port,"Octa core (2.73 GHz, Dual Core + 2.4 GHz, Dual core + 1.95 GHz, Quad core)Samsung Exynos 9 Octa 98258 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus60 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v11
 Samsung Galaxy A52 ," Rs.22,330 ",4500 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Dual Core + 1.8 GHz, Hexa Core)Snapdragon 720G6 GB RAM","6.5 inches (16.51 cm)FHD+, Super AMOLED90 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v11, upgradable to v14"
 Samsung Galaxy F41 ," Rs.13,000 ",6000 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Quad Core + 1.7 GHz, Quad core)Samsung Exynos 9 Octa 96116 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED60 Hz Refresh Rate",64 MP + 8 MP + 5 MP Triple Primary CamerasLED Flash32 MP Front Camera,"Android v10 (Q), upgradable to v11"
 Samsung Galaxy A32 4G ," Rs.20,899 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2 GHz, Dual Core + 1.8 GHz, Hexa Core)MediaTek Helio G806 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED90 Hz Refresh Rate",64 + 8 + 5 + 5 MP Quad Primary CamerasLED Flash20 MP Front Camera,Android v11
 Samsung Galaxy M53 5G 8GB RAM ," Rs.23,399 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)MediaTek Dimensity 9008 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus120 Hz Refresh Rate",108 + 8 + 2 + 2 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy M32 128GB ," Rs.15,399 ",6000 mAhFast ChargingUSB Type-C Port,"Octa core (2 GHz, Dual Core + 1.8 GHz, Hexa Core)MediaTek Helio G806 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED90 Hz Refresh Rate",64 + 8 + 2 + 2 MP Quad Primary CamerasLED Flash20 MP Front Camera,Android v11
 Samsung Galaxy A53 5G 8GB RAM ," Rs.20,999 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)Samsung Exynos 12808 GB RAM","6.5 inches (16.51 cm)FHD+, Super AMOLED120 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy A53 5G 256GB ," Rs.29,890 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)Samsung Exynos 12808 GB RAM","6.5 inches (16.51 cm)FHD+, Super AMOLED120 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy M52 5G 8GB RAM ," Rs.25,749 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Single Core + 2.2 GHz, Tri core + 1.9 GHz, Quad core)Snapdragon 778G8 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus120 Hz Refresh Rate",64 MP + 12 MP + 5 MP Triple Primary CamerasLED Flash32 MP Front Camera,Android v11
 Samsung Galaxy S22 Ultra 512GB ," Rs.64,999 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (3 GHz, Single Core + 2.4 GHz, Tri core + 1.7 GHz, Quad core)Snapdragon 8 Gen 112 GB RAM","6.8 inches (17.27 cm)QHD+, Dynamic AMOLED 2x120 Hz Refresh Rate",108 + 12 + 10 + 10 MP Quad Primary CamerasLED Flash40 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy A73 5G 256GB ," Rs.41,300 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Single Core + 2.2 GHz, Single core + 1.9 GHz, Hexa Core)Snapdragon 778G8 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus120 Hz Refresh Rate",108 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy S22 Ultra 1TB ," Rs.134,999 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (3 GHz, Single Core + 2.4 GHz, Tri core + 1.7 GHz, Quad core)Snapdragon 8 Gen 112 GB RAM","6.8 inches (17.27 cm)QHD+, Dynamic AMOLED 2x120 Hz Refresh Rate",108 + 12 + 10 + 10 MP Quad Primary CamerasLED Flash40 MP Front Camera,"Android v12, upgradable to v14"
 Samsung Galaxy A32 4G 8GB RAM ," Rs.20,989 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2 GHz, Dual Core + 1.8 GHz, Hexa Core)MediaTek Helio G808 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED90 Hz Refresh Rate",64 + 8 + 5 + 5 MP Quad Primary CamerasLED Flash20 MP Front Camera,Android v11
 Samsung Galaxy A52s 5G 8GB RAM ," Rs.32,499 ",4500 mAhFast ChargingUSB Type-C Port,"Octa core (2.4 GHz, Single Core + 2.2 GHz, Tri core + 1.9 GHz, Quad core)Snapdragon 778G8 GB RAM","6.5 inches (16.51 cm)FHD+, Super AMOLED120 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v11
 Samsung Galaxy F42 ," Rs.19,999 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.2 GHz, Dual Core + 2 GHz, Hexa Core)MediaTek Dimensity 7006 GB RAM","6.6 inches (16.76 cm)FHD+, TFT90 Hz Refresh Rate",64 MP + 5 MP + 2 MP Triple Primary CamerasLED Flash8 MP Front Camera,Android v11
 Samsung Galaxy F42 8GB RAM ," Rs.16,999 ",5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.2 GHz, Dual Core + 2 GHz, Hexa Core)MediaTek Dimensity 7008 GB RAM","6.6 inches (16.76 cm)FHD+, TFT90 Hz Refresh Rate",64 MP + 5 MP + 2 MP Triple Primary CamerasLED Flash8 MP Front Camera,Android v11
 Samsung Galaxy M32 Prime Edition ," Rs.11,990 ",6000 mAhFast ChargingUSB Type-C Port,"Octa core (2 GHz, Dual Core + 1.8 GHz, Hexa Core)MediaTek Helio G804 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED90 Hz Refresh Rate",64 + 8 + 2 + 2 MP Quad Primary CamerasLED Flash20 MP Front Camera,Android v12
 Samsung Galaxy A70s 8GB RAM ," Rs.21,490 ",4500 mAhFast ChargingUSB Type-C Port,"Octa core (2 GHz, Dual Core + 1.7 GHz, Hexa Core)Snapdragon 6758 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED",64 MP + 8 MP + 5 MP Triple Primary CamerasLED Flash32 MP Front Camera,"Android v9.0 (Pie), upgradable to v10 (Q)"
 Samsung Galaxy M32 Prime Edition 128GB ," Rs.12,999 ",6000 mAhFast ChargingUSB Type-C Port,"Octa core (2 GHz, Dual Core + 1.8 GHz, Hexa Core)MediaTek Helio G806 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED90 Hz Refresh Rate",64 + 8 + 2 + 2 MP Quad Primary CamerasLED Flash20 MP Front Camera,Android v12
 Samsung Galaxy S21 Ultra ,,5000 mAhFast ChargingUSB Type-C Port,"Octa core (2.9 GHz, Single Core + 2.8 GHz, Tri core + 2.2 GHz, Quad core)Samsung Exynos 2100 12 GB RAM","6.8 inches (17.27 cm)QHD+, Dynamic AMOLED 2x120 Hz Refresh Rate",108 + 10 + 10 + 12 MP Quad Primary CamerasLED Flash40 MP Front Camera,"Android v11, upgradable to v14"
 Samsung Galaxy M51 ,,7000 mAhFast ChargingUSB Type-C Port,"Octa core (2.2 GHz, Dual Core + 1.8 GHz, Hexa Core)Snapdragon 730G6 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus60 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v10 (Q)
 Samsung Galaxy F62 ,,7000 mAhFast ChargingUSB Type-C Port,"Octa core (2.73 GHz, Dual Core + 2.4 GHz, Dual core + 1.95 GHz, Quad core)Samsung Exynos 9 Octa 98256 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus60 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v11
 Samsung Galaxy M31 ,,6000 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Quad Core + 1.7 GHz, Quad core)Samsung Exynos 9 Octa 96116 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED",64 + 8 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v10 (Q)
 Samsung Galaxy M31s ,,6000 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Quad Core + 1.7 GHz, Quad core)Samsung Exynos 9 Octa 96116 GB RAM","6.5 inches (16.51 cm)FHD+, Super AMOLED60 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v10 (Q)
 Samsung Galaxy M51 8GB RAM ,,7000 mAhFast ChargingUSB Type-C Port,"Octa core (2.2 GHz, Dual Core + 1.8 GHz, Hexa Core)Snapdragon 730G8 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED Plus60 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v10 (Q)
 Samsung Galaxy A70s ,,4500 mAhFast ChargingUSB Type-C Port,"Octa core (2 GHz, Dual Core + 1.7 GHz, Hexa Core)Snapdragon 6756 GB RAM","6.7 inches (17.02 cm)FHD+, Super AMOLED",64 MP + 8 MP + 5 MP Triple Primary CamerasLED Flash32 MP Front Camera,"Android v9.0 (Pie), upgradable to v10 (Q)"
 Samsung Galaxy M31 8GB RAM ,,6000 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Quad Core + 1.7 GHz, Quad core)Samsung Exynos 9 Octa 96118 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED",64 + 8 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v10 (Q)
 Samsung Galaxy M31 8GB RAM ,,6000 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Quad Core + 1.7 GHz, Quad core)Samsung Exynos 9 Octa 96118 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED",64 + 8 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v10 (Q)
 Samsung Galaxy F41 128GB ,,6000 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Quad Core + 1.7 GHz, Quad core)Samsung Exynos 9 Octa 96116 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED60 Hz Refresh Rate",64 MP + 8 MP + 5 MP Triple Primary CamerasLED Flash32 MP Front Camera,"Android v10 (Q), upgradable to v11"
 Samsung Galaxy M31s 8GB RAM ,,6000 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Quad Core + 1.7 GHz, Quad core)Samsung Exynos 9 Octa 96118 GB RAM","6.5 inches (16.51 cm)FHD+, Super AMOLED60 Hz Refresh Rate",64 + 12 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v10 (Q)
 Samsung Galaxy M31 Prime ,,6000 mAhFast ChargingUSB Type-C Port,"Octa core (2.3 GHz, Quad Core + 1.7 GHz, Quad core)Samsung Exynos 9 Octa 96116 GB RAM","6.4 inches (16.26 cm)FHD+, Super AMOLED",64 + 8 + 5 + 5 MP Quad Primary CamerasLED Flash32 MP Front Camera,Android v10 (Q)
